# Water_Temp.Temp,_°C_(LGR_S_N__2003431,_SEN_S_N__2003431)@WRST-039.EntireRecord.csv generated at 2024-02-21 17:03:21 (UTC-05:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: Water Temp.Temp, °C (LGR S/N: 2003431, SEN S/N: 2003431)@WRST-039
# Location: Caribou Creek @ culvert
# UTC offset: (UTC-08:00)
# Value units: degC
# Value parameter: Water Temp
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-08:00),Value,Approval Level,Grade,Qualifiers
2008-05-22T00:20:00Z,2008-05-21 16:20:00,5.693,Approved,-1,
2008-05-22T00:28:00Z,2008-05-21 16:28:00,5.693,Approved,-1,
2008-05-22T00:36:00Z,2008-05-21 16:36:00,5.719,Approved,-1,
2008-05-22T00:44:00Z,2008-05-21 16:44:00,5.719,Approved,-1,
2008-05-22T00:52:00Z,2008-05-21 16:52:00,5.745,Approved,-1,
2008-05-22T01:00:00Z,2008-05-21 17:00:00,5.77,Approved,-1,
2008-05-22T01:08:00Z,2008-05-21 17:08:00,5.796,Approved,-1,
2008-05-22T01:16:00Z,2008-05-21 17:16:00,5.847,Approved,-1,
2008-05-22T01:24:00Z,2008-05-21 17:24:00,5.898,Approved,-1,
2008-05-22T01:32:00Z,2008-05-21 17:32:00,5.949,Approved,-1,
2008-05-22T01:40:00Z,2008-05-21 17:40:00,5.975,Approved,-1,
2008-05-22T01:48:00Z,2008-05-21 17:48:00,6,Approved,-1,
2008-05-22T01:56:00Z,2008-05-21 17:56:00,6.026,Approved,-1,
2008-05-22T02:04:00Z,2008-05-21 18:04:00,6.051,Approved,-1,
2008-05-22T02:12:00Z,2008-05-21 18:12:00,6.077,Approved,-1,
2008-05-22T02:20:00Z,2008-05-21 18:20:00,6.128,Approved,-1,
2008-05-22T02:28:00Z,2008-05-21 18:28:00,6.128,Approved,-1,
2008-05-22T02:36:00Z,2008-05-21 18:36:00,6.128,Approved,-1,
2008-05-22T02:44:00Z,2008-05-21 18:44:00,6.102,Approved,-1,
2008-05-22T02:52:00Z,2008-05-21 18:52:00,6.077,Approved,-1,
2008-05-22T03:00:00Z,2008-05-21 19:00:00,6.051,Approved,-1,
2008-05-22T03:08:00Z,2008-05-21 19:08:00,6.026,Approved,-1,
2008-05-22T03:16:00Z,2008-05-21 19:16:00,5.975,Approved,-1,
2008-05-22T03:24:00Z,2008-05-21 19:24:00,5.949,Approved,-1,
2008-05-22T03:32:00Z,2008-05-21 19:32:00,5.898,Approved,-1,
2008-05-22T03:40:00Z,2008-05-21 19:40:00,5.847,Approved,-1,
2008-05-22T03:48:00Z,2008-05-21 19:48:00,5.796,Approved,-1,
2008-05-22T03:56:00Z,2008-05-21 19:56:00,5.745,Approved,-1,
2008-05-22T04:04:00Z,2008-05-21 20:04:00,5.693,Approved,-1,
2008-05-22T04:12:00Z,2008-05-21 20:12:00,5.616,Approved,-1,
