# Water_Temp.Temp,_°C_(LGR_S_N__2003431,_SEN_S_N__2003431)@WRST-040.EntireRecord.csv generated at 2024-02-21 18:14:58 (UTC-05:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: Water Temp.Temp, °C (LGR S/N: 2003431, SEN S/N: 2003431)@WRST-040
# Location: Chokosna River
# UTC offset: (UTC-08:00)
# Value units: degC
# Value parameter: Water Temp
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-08:00),Value,Approval Level,Grade,Qualifiers
2008-06-09T00:00:00Z,2008-06-08 16:00:00,8.618,Working,-1,
2008-06-09T00:08:00Z,2008-06-08 16:08:00,8.593,Working,-1,
2008-06-09T00:16:00Z,2008-06-08 16:16:00,8.568,Working,-1,
2008-06-09T00:24:00Z,2008-06-08 16:24:00,8.568,Working,-1,
2008-06-09T00:32:00Z,2008-06-08 16:32:00,8.543,Working,-1,
2008-06-09T00:40:00Z,2008-06-08 16:40:00,8.543,Working,-1,
2008-06-09T00:48:00Z,2008-06-08 16:48:00,8.543,Working,-1,
2008-06-09T00:56:00Z,2008-06-08 16:56:00,8.593,Working,-1,
2008-06-09T01:04:00Z,2008-06-08 17:04:00,8.693,Working,-1,
2008-06-09T01:12:00Z,2008-06-08 17:12:00,8.866,Working,-1,
2008-06-09T01:20:00Z,2008-06-08 17:20:00,8.99,Working,-1,
2008-06-09T01:28:00Z,2008-06-08 17:28:00,9.163,Working,-1,
2008-06-09T01:36:00Z,2008-06-08 17:36:00,9.238,Working,-1,
2008-06-09T01:44:00Z,2008-06-08 17:44:00,9.238,Working,-1,
2008-06-09T01:52:00Z,2008-06-08 17:52:00,9.287,Working,-1,
2008-06-09T02:00:00Z,2008-06-08 18:00:00,9.312,Working,-1,
2008-06-09T02:08:00Z,2008-06-08 18:08:00,9.312,Working,-1,
2008-06-09T02:16:00Z,2008-06-08 18:16:00,9.262,Working,-1,
2008-06-09T02:24:00Z,2008-06-08 18:24:00,9.238,Working,-1,
2008-06-09T02:32:00Z,2008-06-08 18:32:00,9.262,Working,-1,
