# Water_Temp.Temp,_°C_(LGR_S_N__2003419,_SEN_S_N__2003419)@WRST-043.EntireRecord.csv generated at 2024-02-21 18:15:17 (UTC-05:00) by AQUARIUS Time-Series 22.4.180.0
# 
# Time-series identifier: Water Temp.Temp, °C (LGR S/N: 2003419, SEN S/N: 2003419)@WRST-043
# Location: Lakina River abv bridge
# UTC offset: (UTC-08:00)
# Value units: degC
# Value parameter: Water Temp
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Corrected signal from Beginning of Record to End of Record
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC-08:00),Value,Approval Level,Grade,Qualifiers
2008-06-08T21:52:00Z,2008-06-08 13:52:00,8.941,Working,-1,
2008-06-08T22:00:00Z,2008-06-08 14:00:00,9.089,Working,-1,
2008-06-08T22:08:00Z,2008-06-08 14:08:00,9.238,Working,-1,
2008-06-08T22:16:00Z,2008-06-08 14:16:00,9.361,Working,-1,
2008-06-08T22:24:00Z,2008-06-08 14:24:00,9.485,Working,-1,
2008-06-08T22:32:00Z,2008-06-08 14:32:00,9.632,Working,-1,
2008-06-08T22:40:00Z,2008-06-08 14:40:00,9.78,Working,-1,
2008-06-08T22:48:00Z,2008-06-08 14:48:00,9.928,Working,-1,
2008-06-08T22:56:00Z,2008-06-08 14:56:00,10.026,Working,-1,
2008-06-08T23:04:00Z,2008-06-08 15:04:00,10.173,Working,-1,
2008-06-08T23:12:00Z,2008-06-08 15:12:00,10.296,Working,-1,
2008-06-08T23:20:00Z,2008-06-08 15:20:00,10.418,Working,-1,
2008-06-08T23:28:00Z,2008-06-08 15:28:00,10.541,Working,-1,
2008-06-08T23:36:00Z,2008-06-08 15:36:00,10.638,Working,-1,
2008-06-08T23:44:00Z,2008-06-08 15:44:00,10.736,Working,-1,
2008-06-08T23:52:00Z,2008-06-08 15:52:00,10.834,Working,-1,
2008-06-09T00:00:00Z,2008-06-08 16:00:00,10.932,Working,-1,
2008-06-09T00:08:00Z,2008-06-08 16:08:00,11.005,Working,-1,
2008-06-09T00:16:00Z,2008-06-08 16:16:00,11.102,Working,-1,
